category,description,DAve sm_healthy,DAve smbc_healthy,DAve bc_healthy
Process,Regulation of leukocyte activation,0,2,2
Process,Response to glucocorticoid,2,0,2
Pathway,"Phase I biotransformations, non P450",0.45,-2,1.27
Component,U2-type catalytic step 2 spliceosome,-0.9,-1.23,0.48
Pathway,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",0.68,0.7,0.29
Component,Extracellular vesicle,0.49,-1.11,0.27
Pathway,IL6 signaling pathway,0.41,1.04,0.2
Function,Antigen binding,0.04,0,0
Process,Positive regulation of cytoskeleton organization,2,2,0
Pathway,EPO receptor signaling,0,2,0
Pathway,Constitutive Signaling by Overexpressed ERBB2,0,2,0
Component,Actin filament,0,2,0
Pathway,Allograft rejection,0.04,0,0
Process,Regulation of axon extension,2,0,0
Process,Regulation of deoxyribonuclease activity,2,0,0
Component,Clathrin-coated pit,2,0,0
Process,Positive regulation of axonogenesis,1.21,-2,0
Process,Negative regulation of nitrogen compound metabolic process,0,-0.14,0
Process,Acylglycerol catabolic process,-0.37,-0.44,-0.05
Process,Regulation of response to biotic stimulus,0.38,0.16,-0.06
Pathway,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,-1.51,-0.82,-0.07
Process,Opsonization,0.09,0.16,-0.1
Process,Retina homeostasis,-1.46,-1.08,-0.14
Function,Chaperone binding,0.27,0.21,-0.21
Function,Complement component C1q complex binding,0.55,1,-0.4
Process,Peripheral nervous system axon regeneration,0.45,0,-0.5
Process,Homeostatic process,-0.91,-1.57,-0.55
Process,Negative regulation of organelle organization,0.24,-1.03,-0.98
Process,Regulation of protein stability,0.06,-0.36,-1.04
Pathway,Integrin signaling,0.71,-0.36,-1.29
Process,Rhythmic process,-2,-2,-1.3
Process,Chemical homeostasis,-0.91,-1.54,-1.41
Pathway,Cytosolic tRNA aminoacylation,-1.05,-2,-2
